Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
fa1384a,FATAATA-x1384_B_360_v1,FATAATA-x1384,Z89283908,O=C([O-])c1c[nH]c2ccccc12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1384a,True
fa1142b,FATAATA-x1142_A_360_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1142/A/182/A_v1,False,6a - FATAATA-x1142/A/360,6 - FATAATA-x1142/A/360/1,F1f - FATAATA-x1142/A/360/1,A1 - dimer,F1 - original-I222,6a - fa1142/A/360,6 - fa1142/A/360/1,F1f - fa1142/A/360,A1 - dimer,F1 - original-I222,fa1142b,True
fa1142d,FATAATA-x1142_B_501_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1142/A/182/A_v1,False,6a - FATAATA-x1142/A/360,6 - FATAATA-x1142/A/360/1,F1f - FATAATA-x1142/A/360/1,A1 - dimer,F1 - original-I222,6a - fa1142/A/360,6 - fa1142/A/360/1,F1f - fa1142/A/360,A1 - dimer,F1 - original-I222,fa1142b,True
fa1142a,FATAATA-x1142_A_361_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1142a,True
fa1142c,FATAATA-x1142_B_401_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1142a,True
fa1147a,FATAATA-x1147_A_360_v1,FATAATA-x1147,Z56946871,Nc1ccc(F)cc1C(=O)[O-],FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1147a,True
fa1147b,FATAATA-x1147_B_401_v1,FATAATA-x1147,Z56946871,Nc1ccc(F)cc1C(=O)[O-],FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1147a,True
fa1163b,FATAATA-x1163_A_402_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1163b,True
fa1163d,FATAATA-x1163_B_401_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1163b,True
fa1163a,FATAATA-x1163_A_401_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1840/A/111/A_v1,True,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1163a,True
fa1163c,FATAATA-x1163_B_360_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1163a,True
fa1164a,FATAATA-x1164_A_361_v1,FATAATA-x1164,Z104503564,O=C([O-])c1ccc(O)c(Cl)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1164a,True
fa1164b,FATAATA-x1164_B_360_v1,FATAATA-x1164,Z104503564,O=C([O-])c1ccc(O)c(Cl)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1164a,True
fa1168b,FATAATA-x1168_A_441_v1,FATAATA-x1168,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1168b,True
fa1168d,FATAATA-x1168_B_401_v1,FATAATA-x1168,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1168b,True
fa1168a,FATAATA-x1168_A_400_v1,FATAATA-x1168,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168/A/400,4 - FATAATA-x1168/A/400/1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168/A/400,4 - fa1168/A/400/1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1168a,True
fa1168c,FATAATA-x1168_B_402_v1,FATAATA-x1168,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168/A/400,4 - FATAATA-x1168/A/400/1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168/A/400,4 - fa1168/A/400/1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1168a,True
fa1174b,FATAATA-x1174_A_361_v1,FATAATA-x1174,Z104477750,N#Cc1ccccc1O,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1174b,True
fa1174d,FATAATA-x1174_B_402_v1,FATAATA-x1174,Z104477750,N#Cc1ccccc1O,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1174b,True
fa1174a,FATAATA-x1174_A_360_v1,FATAATA-x1174,Z104477750,N#Cc1ccccc1O,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1174a,True
fa1174c,FATAATA-x1174_B_401_v1,FATAATA-x1174,Z104477750,N#Cc1ccccc1O,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1174a,True
fa1176a,FATAATA-x1176_A_360_v1,FATAATA-x1176,Z431953146,OCc1cc(-c2ccccc2)on1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1176a,True
fa1176b,FATAATA-x1176_B_401_v1,FATAATA-x1176,Z431953146,OCc1cc(-c2ccccc2)on1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1176a,True
fa1180a,FATAATA-x1180_A_401_v1,FATAATA-x1180,Z218760918,Nc1noc2ccccc12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1180a,True
fa1180b,FATAATA-x1180_A_501_v1,FATAATA-x1180,Z218760918,Nc1noc2ccccc12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1180a,True
fa1180c,FATAATA-x1180_B_360_v1,FATAATA-x1180,Z218760918,Nc1noc2ccccc12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1180a,True
fa1180d,FATAATA-x1180_B_401_v1,FATAATA-x1180,Z218760918,Nc1noc2ccccc12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1180a,True
fa1184a,FATAATA-x1184_A_401_v1,FATAATA-x1184,Z1117899682,FC(F)(F)c1ccnc(N2CCNCC2)n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1184a,True
fa1184b,FATAATA-x1184_B_360_v1,FATAATA-x1184,Z1117899682,FC(F)(F)c1ccnc(N2CCNCC2)n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1184a,True
fa1188a,FATAATA-x1188_A_360_v1,FATAATA-x1188,Z62452555,O=c1[nH]cnc2c1oc1ccccc12,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168/A/400,4 - FATAATA-x1168/A/400/1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168/A/400,4 - fa1168/A/400/1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1188a,True
fa1188b,FATAATA-x1188_B_401_v1,FATAATA-x1188,Z62452555,O=c1[nH]cnc2c1oc1ccccc12,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168/A/400,4 - FATAATA-x1168/A/400/1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168/A/400,4 - fa1168/A/400/1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1188a,True
fa1201a,FATAATA-x1201_A_360_v1,FATAATA-x1201,Z607808530,O=C([O-])C1Cc2ccccc2C1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1201a,True
fa1201b,FATAATA-x1201_B_401_v1,FATAATA-x1201,Z607808530,O=C([O-])C1Cc2ccccc2C1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1201a,True
fa1209a,FATAATA-x1209_A_401_v1,FATAATA-x1209,Z57036327,NNC(=O)c1ccc(O)cc1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1209a,True
fa1209b,FATAATA-x1209_B_401_v1,FATAATA-x1209,Z57036327,NNC(=O)c1ccc(O)cc1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1209a,True
fa1211a,FATAATA-x1211_A_401_v1,FATAATA-x1211,Z56946871,Nc1ccc(F)cc1C(=O)O,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1211a,True
fa1211b,FATAATA-x1211_B_360_v1,FATAATA-x1211,Z56946871,Nc1ccc(F)cc1C(=O)O,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1211a,True
fa1212a,FATAATA-x1212_A_360_v1,FATAATA-x1212,Z147642456,Cc1ccc(O)c(C(=O)O)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1212a,True
fa1212b,FATAATA-x1212_B_401_v1,FATAATA-x1212,Z147642456,Cc1ccc(O)c(C(=O)O)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1212a,True
fa1228a,FATAATA-x1228_A_361_v1,FATAATA-x1228,Z104503564,O=C(O)c1ccc(O)c(Cl)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1228a,True
fa1228b,FATAATA-x1228_B_360_v1,FATAATA-x1228,Z104503564,O=C(O)c1ccc(O)c(Cl)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1228a,True
fa1231c,FATAATA-x1231_A_402_v1,FATAATA-x1231,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1231c,True
fa1231f,FATAATA-x1231_B_501_v1,FATAATA-x1231,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1231c,True
fa1231b,FATAATA-x1231_A_360_v1,FATAATA-x1231,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168/A/400,4 - FATAATA-x1168/A/400/1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168/A/400,4 - fa1168/A/400/1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1231b,True
fa1231e,FATAATA-x1231_B_401_v1,FATAATA-x1231,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168/A/400,4 - FATAATA-x1168/A/400/1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168/A/400,4 - fa1168/A/400/1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1231b,True
fa1231a,FATAATA-x1231_A_403_v1,FATAATA-x1231,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1231a,True
fa1231d,FATAATA-x1231_B_502_v1,FATAATA-x1231,Z969591530,NS(=O)(=O)c1nc2ccccc2[nH]1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1231a,True
fa1234a,FATAATA-x1234_A_361_v1,FATAATA-x1234,Z104495736,Nc1ccccc1CO,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1234a,True
fa1234b,FATAATA-x1234_B_360_v1,FATAATA-x1234,Z104495736,Nc1ccccc1CO,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1234a,True
fa1236a,FATAATA-x1236_A_401_v1,FATAATA-x1236,Z57493539,Cc1ccc(C(N)=O)cn1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1236a,True
fa1236b,FATAATA-x1236_B_401_v1,FATAATA-x1236,Z57493539,Cc1ccc(C(N)=O)cn1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1236a,True
